score,badge,name,phone,address,site,issues
70,No website at all,Jesse’s Garage Auto Service & Tire Shop,(317) 907-4200,"5602 N Michigan Rd, Indianapolis, IN 46228, USA",,no website found
70,No website at all,Los Dinos Tire Shop LLC,(317) 457-7631,"2402 Lafayette Rd, Indianapolis, IN 46222, USA",,no website found
70,No website at all,A & Z Auto Repair & Tires,(317) 979-2773,"1930 Lafayette Rd, Indianapolis, IN 46222, USA",,no website found
70,No website at all,Georgetown Tire Shop,(317) 377-4600,"4717 W 30th St, Indianapolis, IN 46222, USA",,no website found
70,No website at all,Los tiernos tire shop,(317) 341-0650,"5315 Rockville Rd, Indianapolis, IN 46224, USA",,no website found
70,No website at all,El Brody New Tires,(317) 910-4611,"3580 Lafayette Rd, Indianapolis, IN 46222, USA",,no website found
70,No website at all,IMC Tire and Mufflers Service Inc,(317) 426-2011,"3521 W 16th St, Indianapolis, IN 46222, USA",,no website found
70,No website at all,Lafayette Tire Shop,(317) 486-3724,"2535 N Tibbs Ave, Indianapolis, IN 46222, USA",,no website found
70,No website at all,TURBO TIRE SHOP,(317) 297-3094,"3650 Lafayette Rd, Indianapolis, IN 46222, USA",,no website found
70,No website at all,ROYAL TIRES,(317) 802-7962,"4090 Lafayette Rd, Indianapolis, IN 46254, USA",,no website found
70,No website at all,German Tire Shop,,"3547 W 30th St, Indianapolis, IN 46222, USA",,no website found
70,No website at all,Tire 1 Indy,(317) 802-7962,"3605 Lafayette Rd, Indianapolis, IN 46222, USA",,no website found
70,No website at all,PayLess Tire Shop,,"2206 Lafayette Rd, Indianapolis, IN 46222, USA",,no website found
70,No website at all,T&T Tires,(317) 419-3623,"148 W 38th St, Indianapolis, IN 46208, USA",,no website found
70,No website at all,Cruz Tire Shop,(317) 403-7399,"2907 Doctor M.L.K. Jr St, Indianapolis, IN 46208, USA",,no website found
70,No website at all,Roadmaster Automotive Inc,(317) 929-1137,"3361 Georgetown Rd, Indianapolis, IN 46224, USA",,no website found
70,No website at all,J.R.'s New & Used Tires,(317) 974-1330,"2728 W Washington St, Indianapolis, IN 46222, USA",,no website found
70,No website at all,Meza Rodriguez Tire Shop,(317) 523-9203,"4250 W 38th St, Indianapolis, IN 46254, USA",,no website found
70,No website at all,BUDGET TIRE,(317) 478-5052,"Indianapolis, IN 46241, USA",,no website found
70,No website at all,Mira Flores Tire Shop,(317) 373-5937,"2936 Stanley Ave, Indianapolis, IN 46203, USA",,no website found
70,No website at all,Torres Tire Shop,(317) 986-9853,"4809 W Washington St #46241, Indianapolis, IN 46222, USA",,no website found
70,No website at all,David's Garage And Tire Shop,(317) 523-9586,"2202 W Washington St, Indianapolis, IN 46222, USA",,no website found
70,No website at all,Freeman Tire & Automotive,(317) 784-4409,"2202 E Troy Ave, Indianapolis, IN 46203, USA",,no website found
70,No website at all,Brakes For Less,(317) 739-1667,"4840 S Meridian St, Indianapolis, IN 46217, USA",,no website found
70,No website at all,State Street Used Tire,(317) 566-4159,"726 S State Ave, Indianapolis, IN 46203, USA",,no website found
70,No website at all,Michigan Road Auto Center,(317) 257-6377,"5835 N Michigan Rd, Indianapolis, IN 46228, USA",,no website found
70,No website at all,American Eagle New and Used Tires,(317) 974-9994,"3815 E 10th St, Indianapolis, IN 46201, USA",,no website found
70,No website at all,Marwood Tire & Services Center,(317) 241-4274,"3315 Kentucky Ave, Indianapolis, IN 46221, USA",,no website found
70,No website at all,Llantas El Sentauro,(317) 920-0771,"3241 Lafayette Rd, Indianapolis, IN 46222, USA",,no website found
70,No website at all,A & R Tires,(317) 547-7777,"4016 N Keystone Ave, Indianapolis, IN 46205, USA",,no website found
70,No website at all,Eastside Tire & Wheel,(317) 353-9507,"3901 E Washington St, Indianapolis, IN 46201, USA",,no website found
70,No website at all,Jayden Used Tire & Wheel,(317) 247-5433,"6657 W Washington St, Indianapolis, IN 46241, USA",,no website found
70,No website at all,A & Z Auto Repair & Tires,(317) 787-1366,"5335 Madison Ave, Indianapolis, IN 46227, USA",,no website found
70,No website at all,Speedway Auto and Tires,,"401 Kentucky Ave, Indianapolis, IN 46225, USA",,no website found
60,Facebook only,Indiana Quality Used Tires,(317) 557-6049,"3701 W Washington St, Indianapolis, IN 46241, USA",https://www.facebook.com/IndianaQualityUsedTires/,Facebook only
60,Facebook only,J.R.’s New & Used Tires,(317) 266-0226,"3519 W 10th St, Indianapolis, IN 46222, USA",https://www.facebook.com/JRSUSEDTIRES/,Facebook only
60,Facebook only,Indy pro tire shop,(317) 454-4126,"3545 W Washington St, Indianapolis, IN 46241, USA",http://facebook.com/@indypro.tireshop,Facebook only
60,Facebook only,Yocar Auto Services,(317) 625-8160,"1828 E Washington St #2, Indianapolis, IN 46201, USA",https://m.facebook.com/pg/Yocar-Auto-Services-1537991033144662/photos/?mt_nav=1,Facebook only
60,Facebook only,Rodriguez Mechanic & Alignment,(317) 258-9362,"4451 W Washington St, Indianapolis, IN 46241, USA",https://www.facebook.com/profile.php?id=61561677507029,Facebook only
60,Facebook only,Jr Torres Tire Shop,(317) 686-2938,"2210 E Washington St, Indianapolis, IN 46201, USA",https://www.facebook.com/share/1C91dddwJs/,Facebook only
60,Facebook only,Mena Auto Service,(317) 423-2667,"2500 Lafayette Rd, Indianapolis, IN 46222, USA",https://m.facebook.com/menaautoservice,Facebook only
45,Parked / broken,Pineda tire shop,,"2801 Roosevelt Ave, Indianapolis, IN 46218, USA",https://lilspiketv.com/ja-autocare/,unreachable (URLError)
45,Parked / broken,Circle Tires,(317) 419-2888,"5359, 5333 W 38th St, Indianapolis, IN 46254, USA",http://royalautosalesindy.com/,unreachable (HTTPError)
45,Outdated site,Downtown Car Care Center,(317) 637-2419,"725 N Capitol Ave, Indianapolis, IN 46204, USA",http://downtowncarcarecenter.com/,no HTTPS; deprecated: center
28,Minor issues,Bill's Alignment & Auto Service Inc,(317) 923-2757,"2950 Formula Alley Way, Indianapolis, IN 46222, USA",https://www.billsalignment.com/,deprecated: center; old jQuery
25,Minor issues,McKinney Auto Service & Transmission,(317) 297-1474,"4451 Lafayette Blvd, Indianapolis, IN 46254, USA",http://autoandfleetrepair.com/,no HTTPS
20,Minor issues,A & A Tire and Auto Service,(317) 925-5330,"2603 Lafayette Rd, Indianapolis, IN 46222, USA",https://www.aatireautoservice.com/,deprecated: center
15,Minor issues,Community Auto Repair and Tire Sale,(317) 732-0836,"4360 N Keystone Ave, Indianapolis, IN 46205, USA",https://www.communityautorepairandtiresale.com/,old/no doctype
15,Minor issues,AutoTire Car Care Centers - Southport,(317) 881-1101,"8030 S Emerson Ave, Indianapolis, IN 46237, USA",http://www.autotirecarcare.com/,old/no doctype
12,Minor issues,Dave's Mechanic Shop (DMS),(317) 516-7349,"601 S Tibbs Ave, Indianapolis, IN 46241, USA",https://www.daveshopindy.com/,stale ©2020
5,Modern — skip,Felipe's Tire Shop,(317) 737-2511,"4481 N Keystone Ave, Indianapolis, IN 46205, USA",https://indianapolisbrakeservice.com/,no social tags
0,Modern — skip,All Star Tire & Auto Service,(317) 269-0500,"534 N Capitol Ave, Indianapolis, IN 46204, USA",https://astires.com/,looks current
0,Modern — skip,Munoz Tire Shop and auto repair,(317) 426-5320,"3422 W 16th St, Indianapolis, IN 46222, USA",https://hghitechperformance.tech/,looks current
0,Modern — skip,El Camino Tire Shop,(317) 328-0288,"4404 Georgetown Rd, Indianapolis, IN 46254, USA",https://elcaminotires.com/,looks current
0,Modern — skip,Ty's Automotive,(317) 283-7400,"5050 N Keystone Ave, Indianapolis, IN 46205, USA",http://tysauto.com/,looks current
0,Modern — skip,Indy Auto Repairs – Affordable Car Care,(463) 224-7863,"7615 Crawfordsville Rd, Indianapolis, IN 46214, USA",https://indyautorepairs.co/,looks current
0,Modern — skip,Angel On Wheels - Roadside Assistance Indianapolis,(317) 900-6673,"201 N Illinois St S TOWER STE 1600, Indianapolis, IN 46204, USA",http://angelonwheelsassistance.com/,looks current
0,Modern — skip,Malless Auto Service,(317) 349-4671,"4525 W 71st St, Indianapolis, IN 46268, USA",https://mainstreetauto.com/location/malless-automotive/,looks current
0,Modern — skip,Express Auto and Body,(317) 546-7576,"1922 E 38th St, Indianapolis, IN 46218, USA",https://www.expressautoindy.com/,looks current
0,Modern — skip,Tyler Automotive,(317) 255-6759,"2801 E 62nd St, Indianapolis, IN 46220, USA",https://www.tylerautoindy.com/,looks current
